title,year,genre,cast_hint,director,plot_hint,tagline_text
"Oh, God!",1977,"Fantasy, Comedy","John Denver, George Burns, Teri Garr",,"When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.","Anybody who could turn Lot's wife into a pillar of salt, incinerate Sodom and Gomorrah and make it rain for forty days and forty nights has got to be a fun guy."
On Golden Pond,1981,"Drama, Romance","Katharine Hepburn, Henry Fonda, Jane Fonda",,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",When life is at its finest... when love is at its fullest...
Once Upon a Time... in Hollywood,2019,"Comedy, Drama, Thriller","Leonardo DiCaprio, Brad Pitt, Margot Robbie",,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…","In this town, it can all change… Like that."
One Battle After Another,2025,"Thriller, Crime, Comedy","Leonardo DiCaprio, Sean Penn, Chase Infiniti",,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Some search for battle, others are born into it..."
One Flew Over the Cuckoo's Nest,1975,Drama,"Jack Nicholson, Brad Dourif, Louise Fletcher",,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","In this clean, orderly, disciplined world, who needs guys like McMurphy? Everybody."
Oppenheimer,2023,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon",,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,The world forever changes.
Ordinary People,2018,"Action, Crime, Thriller","Don Lee, Kim Sae-ron, Jang Kwang",,"A gym teacher and his female student look for her missing friend. But as they investigate, they find that her disappearance is a part of a larger conspiracy.",Do not trust anyone.
Out of Africa,1985,"History, Romance, Drama","Robert Redford, Meryl Streep, Klaus Maria Brandauer",,"Tells the life story of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on her 1937 autobiographical novel.",Based on a true story.
Paper Moon,1973,"Comedy, Crime, Drama","Tatum O'Neal, Ryan O'Neal, Madeline Kahn",,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","As P.T. Barnum put it, ""There's a sucker born every minute."""
Parasite,2019,"Comedy, Thriller, Drama","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",Act like you own the place.
Patton,1970,"War, Drama, History","George C. Scott, Karl Malden, Stephen Young",,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",The Rebel Warrior
Pearl Harbor,2001,"War, Romance, History","Ben Affleck, Kate Beckinsale, Josh Hartnett",,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",It takes a moment to change history. It takes love to change lives.
Philadelphia,1993,Drama,"Tom Hanks, Denzel Washington, Jason Robards",,"Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops, their courage overcomes the prejudice and corruption of their powerful adversaries.",No one would take on his case... until one man was willing to take on the system.
Philomena,2013,Drama,"Judi Dench, Steve Coogan, Sophie Kennedy Clark",,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",These two unlikely companions are on a journey to find her long lost son.
Pirates of the Caribbean: At World's End,2007,"Adventure, Fantasy, Action","Johnny Depp, Geoffrey Rush, Orlando Bloom",,"After losing Captain Jack Sparrow to the locker of Davy Jones, Will Turner, Elizabeth Swann, and Captain Barbossa journey to the ends of the earth to rescue him. And as the East India Trading Company tightens its grip on the seas under Lord Cutler Beckett—now in control of Davy Jones—the fate of piracy hangs by a thread. Now, they must unite the pirate lords for one final stand. But as loyalties are tested and alliances shift, each must ultimately choose where they stand in the battle for freedom on the high seas.","At the end of the world, the adventure begins."
Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action","Johnny Depp, Orlando Bloom, Keira Knightley",,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",Captain Jack is back!
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action, Fantasy","Johnny Depp, Penélope Cruz, Geoffrey Rush",,"When Jack crosses paths with a woman from his past, he's not sure if it's love...or if she's a ruthless con artist using him to find the fabled Fountain of Youth.",Live forever or die trying.
Places in the Heart,1984,Drama,"Sally Field, Lindsay Crouse, John Malkovich",,"In 1935 rural Texas, recently widowed Edna Spaulding struggles to survive with two small children, a farm to run, and very little money in the bank - not to mention a deadly tornado and the unwelcome presence of the Ku Klux Klan. Edna is aided by her beautician sister, Margaret; a blind boarder, Mr. Will; and a would-be thief, Moze, who decides to teach Edna how to plant and harvest cotton.","The story of a woman fighting for her children, for her land, for the greatest dream there is... the future."
"Planes, Trains and Automobiles",1987,Comedy,"Steve Martin, John Candy, Laila Robins",,"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower curtain ring salesman, Del Griffith.",What he really wanted was to spend Thanksgiving with his family. What he got was three days with the turkey.
Platoon,1986,"Drama, War, Action","Charlie Sheen, Willem Dafoe, Tom Berenger",,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",The first casualty of war is innocence.
Poltergeist,1982,Horror,"JoBeth Williams, Craig T. Nelson, Beatrice Straight",,"The Freelings' suburban home becomes the center of paranormal activity that opens a portal to the 'other side'. With help, they must cross over to get their daughter back.",They're here.
Poor Things,2023,"Science Fiction, Romance, Comedy","Emma Stone, Mark Ruffalo, Willem Dafoe",,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",She’s nothing like you’ve ever seen.
Predator,1987,"Science Fiction, Action, Adventure","Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall",,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,Soon the hunt will begin.
Pretty in Pink,1986,"Romance, Drama","Molly Ringwald, Andrew McCarthy, Jon Cryer",,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",Blane's a pretty cool guy. Andie's pretty in pink. And Duckie's pretty crazy.
Pretty Woman,1990,"Romance, Comedy","Richard Gere, Julia Roberts, Ralph Bellamy",,"Vivian is a carefree, streetwise diamond in the rough when she meets sophisticated billionaire Edward in a chance encounter that turns into a week-long business arrangement. But Vivian's energetic spirit challenges Edward's no-nonsense approach to life, and soon they are teaching each other – and falling in love!","She walked off the street, into his life and stole his heart."
Prizzi's Honor,1985,"Romance, Comedy, Crime","Jack Nicholson, Kathleen Turner, Robert Loggia",,"Charley Partanna is a hitman who works for the Prizzis, one of the richest crime families in the US. When he sees Irene Walker, it's love at first sight. But he soon finds that she, too, is a killer for hire. Charley can overlook his suspicions, but he can't turn off his heart. And the couple must remember that even if they love each other, the Prizzis love only money.",Hired killers by day. Devoted lovers by night. Until they found out their next assignment was each other.
Promising Young Woman,2020,"Thriller, Crime, Drama","Carey Mulligan, Bo Burnham, Alison Brie",,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Revenge never looked so promising.
Puss in Boots: The Last Wish,2022,"Animation, Adventure, Fantasy","Antonio Banderas, Salma Hayek Pinault, Harvey Guillén",,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Say hola to his little friends.
Quantum of Solace,2008,"Adventure, Action, Thriller","Daniel Craig, Olga Kurylenko, Mathieu Amalric",,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Have Regrets. Get Revenge.
Quiz Show,1994,"History, Drama","John Turturro, Rob Morrow, Ralph Fiennes",,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",Fifty million people watched but no one saw a thing.
Raging Bull,1980,"Drama, History","Robert De Niro, Cathy Moriarty, Joe Pesci",,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",I don’t go down for nobody.
Rain Man,1988,Drama,"Dustin Hoffman, Tom Cruise, Valeria Golino",,"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",A journey through understanding and fellowship.
Raising Arizona,1987,"Comedy, Crime","Nicolas Cage, Holly Hunter, Trey Wilson",,"When a childless couple—an ex-con and an ex-cop—take one of a wealthy family’s quintuplets to raise as their own, their lives grow more complicated than anticipated.",Their lawless years are behind them. Their child-rearing years lay ahead...
Ralph Breaks the Internet,2018,"Action, Adventure, Animation","John C. Reilly, Sarah Silverman, Gal Gadot",,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",Who broke the internet?
Ratatouille,2007,"Animation, Comedy, Family","Patton Oswalt, Ian Holm, Lou Romano",,"Remy, a rat, possesses a palate far more refined than that of his fellow comrades. He dreams of becoming a chef, one who creates rather than scavenges. When fate deposits him in the sewers beneath one of Paris’s most famous restaurants, he finds himself ideally placed to fulfill his dream. Forming an unusual alliance with a hapless young kitchen worker, Remy begins a daring culinary double life.  As Remy pursues his vision, he must navigate the suspicions of the calculating Head Chef Skinner, the disapproval of Remy’s own colony, and the foreboding presence of renowned food critic Anton Ego, who strikes fear in the hearts of chefs all throughout France.",He's dying to become a chef.
Ray,2004,"Drama, Music","Jamie Foxx, Kerry Washington, Regina King",,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered coupling gospel and country together.",The extraordinary life story of Ray Charles.
Raya and the Last Dragon,2021,"Animation, Action, Adventure","Kelly Marie Tran, Awkwafina, Gemma Chan",,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",A quest to save her world.
Reds,1981,"Drama, History, Romance","Warren Beatty, Diane Keaton, Edward Herrmann",,"An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",Not since Gone with the Wind has there been a great romantic epic like it!
Revenge of the Pink Panther,1978,"Comedy, Crime, Mystery","Peter Sellers, Herbert Lom, Dyan Cannon",,"Chief Inspector Jacques Clouseau is dead. At least that is what the world—and Charles Dreyfus—believe when a dead body is discovered in Clouseau's car after being shot off the road. Naturally, Clouseau knows differently and, taking advantage of not being alive, sets out to discover why an attempt was made on his life.",Just when you thought it was safe to go back to the movies.
Rio,2011,"Animation, Adventure, Comedy","Jesse Eisenberg, Anne Hathaway, Leslie Mann",,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.
Rio 2,2014,"Animation, Adventure, Comedy","Jesse Eisenberg, Anne Hathaway, will.i.am",,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",It's on in the Amazon.
Risky Business,1983,"Romance, Comedy, Drama","Tom Cruise, Rebecca De Mornay, Joe Pantoliano",,"Meet Joel Goodson, an industrious, college-bound 17-year-old and a responsible, trustworthy son. However, when his parents go away and leave him home alone in the wealthy Chicago suburbs with the Porsche at his disposal he quickly decides he has been good for too long and it is time to enjoy himself. After an unfortunate incident with the Porsche Joel must raise some cash, in a risky way.",There's a time for playing it safe and a time for Risky Business.
RoboCop,1987,"Action, Thriller, Science Fiction","Peter Weller, Nancy Allen, Dan O'Herlihy",,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.","Part man, part machine, all cop."
Rocky IV,1985,Drama,"Sylvester Stallone, Dolph Lundgren, Carl Weathers",,"Rocky Balboa holds the world heavyweight championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union. This time, Rocky's training regimen takes him to Siberia, where he prepares for a globally televised match in the heart of Moscow. But nothing can truly prepare him for what he's about to face – a fight to the finish, in which he must defend not only himself, but also the honor of his country!",He's facing the ultimate challenge. And fighting for his life.
Rogue One: A Star Wars Story,2016,"Action, Adventure, Science Fiction","Felicity Jones, Diego Luna, Alan Tudyk",,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,Empires are built on fear. Rebellions are built on hope.
Roma,2018,Drama,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.",There are periods in history that scar societies and moments in life that transform us as individuals.
Room,2015,"Drama, Thriller","Brie Larson, Jacob Tremblay, Joan Allen",,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Love knows no boundaries.
Saturday Night Fever,1977,Drama,"John Travolta, Karen Lynn Gorney, Barry Miller",,Tony spends his Saturdays at a disco where his stylish moves raise his popularity among the patrons. But his life outside the disco is not easy and things change when he gets attracted to Stephanie.,Where do you go when the record is over...
Say Anything...,1989,"Romance, Comedy, Drama","John Cusack, Ione Skye, John Mahoney",,"Average student and eternal optimist Lloyd Dobler seeks to capture the heart of Diane Court, a beautiful but unattainable valedictorian classmate. He surprises just about everyone - including himself - when she returns the sentiment. However, Diane's divorced, over-protective father soon begins to disapprove of the match, and Lloyd realises that it's going to take more than just the power of love to conquer all.",A Lloyd meets girl story.
Scarface,1983,"Action, Crime, Drama","Al Pacino, Steven Bauer, Michelle Pfeiffer",,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",He loved the American Dream. With a vengeance.
Scent of a Woman,1992,Drama,"Al Pacino, Chris O'Donnell, James Rebhorn",,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.","Frank Slade has a plan. It includes a weekend of fast cars, the tango, high living and a loaded forty five. And Charlie is coming along for the ride."
Scream,1996,"Crime, Horror, Mystery","David Arquette, Neve Campbell, Courteney Cox",,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",Someone has taken their love of scary movies one step too far. Solving this mystery is going to be murder.
Scream 2,1997,"Horror, Mystery","Neve Campbell, Courteney Cox, David Arquette",,"Two years after the Woodsboro murders, Sidney Prescott acclimates to college life while someone donning the Ghostface costume begins a new string of killings.",Someone has taken their love of sequels one step too far.
Scream VI,2023,"Horror, Thriller, Crime","Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown",,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",New York. New rules.
Seabiscuit,2003,"Drama, History","Tobey Maguire, David McCullough, Jeff Bridges",,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,The hopes of a nation rode on a long shot.
Secrets & Lies,1996,Drama,"Brenda Blethyn, Marianne Jean-Baptiste, Timothy Spall",,"After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She's shocked when her research leads her to Cynthia, a working class white woman.",Roxanne drives her mother crazy. Maurice never speaks to his niece. Cynthia has a shock for her family. Monica can't talk to her husband. Hortense has never met her mother.
Selma,2014,"History, Drama","David Oyelowo, Carmen Ejogo, Tom Wilkinson",,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",One dream can change the world.
Sense and Sensibility,1995,"Drama, Romance","Emma Thompson, Kate Winslet, Alan Rickman",,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",Lose your heart and come to your senses.
Serpico,1973,"Crime, Drama, History","Al Pacino, John Randolph, Jack Kehoe",,New York cop Frank Serpico blows the whistle on the rampant corruption in the force only to have his comrades turn against him.,Many of his fellow officers considered him the most dangerous man alive - an honest cop.
Shakespeare in Love,1998,"Romance, History, Comedy","Joseph Fiennes, Gwyneth Paltrow, Geoffrey Rush",,"Young William Shakespeare is forced to stage his latest comedy, 'Romeo and Ethel, the Pirate's Daughter', before it's even written. When lovely noblewoman Viola de Lesseps auditions for a role, they fall into forbidden love — and Shakespeare's play finds a new life (and title). As their relationship intensifies, the comedy soon transforms into tragedy.",Love is the only inspiration.
Shampoo,1975,"Comedy, Drama","Warren Beatty, Julie Christie, Goldie Hawn",,"On Election Day, 1968, irresponsible hairdresser and ladies' man George Roundy is too busy cutting hair and dealing with his girlfriends and mistress Felicia Karpf, whose husband Lester is having an affair with his ex-girlfriend Jackie.",Your hairdresser does it better.
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy","Simu Liu, Tony Leung Chiu-wai, Awkwafina",,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,You can't outrun your destiny.
Shazam! Fury of the Gods,2023,"Comedy, Action, Fantasy","Zachary Levi, Asher Angel, Jack Dylan Grazer",,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",Oh. My. Gods.
Shrek Forever After,2010,"Comedy, Adventure, Fantasy","Mike Myers, Eddie Murphy, Cameron Diaz",,"A midlife-crisis burdened Shrek, longing for the days when he felt like a real ogre, makes a pact with magic deal-maker Rumpelstiltskin. But when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",It ain't ogre...til it's ogre.
Shrek the Third,2007,"Fantasy, Adventure, Animation","Mike Myers, Eddie Murphy, Cameron Diaz",,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",He's in for the royal treatment.
Sideways,2004,"Comedy, Drama, Romance","Paul Giamatti, Thomas Haden Church, Virginia Madsen",,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",In search of wine. In search of women. In search of themselves.
Silver Linings Playbook,2012,"Drama, Comedy, Romance","Bradley Cooper, Jennifer Lawrence, Robert De Niro",,"After losing his job and wife, and spending time in an institution, a former teacher winds up living with his parents. He wants to rebuild his life and reconcile with his wife, but his father would be happy if he shared his obsession with the Philadelphia Eagles. Things get complicated when he meets Tiffany Maxwell who offers to help him reconnect with his wife if he will do something very important for her in exchange.",Watch for the signs.
Silver Streak,1976,"Comedy, Crime, Romance","Gene Wilder, Jill Clayburgh, Richard Pryor",,"A somewhat daffy book editor on a rail trip from Los Angeles to Chicago thinks that he sees a murdered man thrown from the train. When he can find no one who will believe him, he starts doing some investigating of his own. But all that accomplishes is to get the killer after him.","By train, by plane, by the edge of your seat - It's the most hilarious suspense ride of your life!"
Sing,2016,"Animation, Comedy, Family","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane",,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,Auditions begin.
Sinners,2025,"Horror, Action, Thriller","Michael B. Jordan, Hailee Steinfeld, Miles Caton",,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Dance with the devil.
Sixteen Candles,1984,"Comedy, Romance","Molly Ringwald, Michael Schoeffling, Haviland Morris",,"With the occasion all but overshadowed by her sister's upcoming wedding, angst-ridden Samantha faces her 16th birthday with typical adolescent dread. Samantha pines for studly older boy Jake, but worries that her chastity will be a turnoff for the popular senior. Meanwhile, she must constantly rebuff the affections of nerdy Ted, who is unfortunately the only boy in school who seems to take an interest in her.","Turning sixteen isn't easy, when you've fallen in love... for the first time."
Skyfall,2012,"Action, Adventure, Thriller","Daniel Craig, Judi Dench, Javier Bardem",,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",Think on your sins.
Sleepless in Seattle,1993,"Comedy, Drama, Romance","Meg Ryan, Tom Hanks, Ross Malinger",,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Across the country, an engaged woman becomes convinced that they belong together, despite their never having met. Will their paths collide despite the odds?","What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Slumdog Millionaire,2008,"Drama, Romance","Dev Patel, Freida Pinto, Madhur Mittal",,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",What does it take to find a lost love?
Smile,2022,"Horror, Mystery","Sosie Bacon, Kyle Gallner, Jessie T. Usher",,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.","Once you see it, it's too late."
Smile 2,2024,"Horror, Music, Mystery","Naomi Scott, Rosemarie DeWitt, Lukas Gage",,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",It's the last thing you'll see.
Smokey and the Bandit,1977,"Action, Adventure, Comedy","Burt Reynolds, Sally Field, Jerry Reed",,"A race car driver tries to transport an illegal beer shipment from Texas to Atlanta in under 28 hours, picking up a reluctant bride-to-be on the way.",What we have here is a total lack of respect for the law!
Sonic the Hedgehog,2020,"Action, Science Fiction, Comedy","Ben Schwartz, James Marsden, Tika Sumpter",,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",A whole new speed of hero.
Sonic the Hedgehog 2,2022,"Action, Adventure, Family","Ben Schwartz, James Marsden, Tika Sumpter",,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Welcome to the next level.
Sonic the Hedgehog 3,2024,"Action, Science Fiction, Comedy","Jim Carrey, Ben Schwartz, Keanu Reeves",,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",New adventure. New rival.
Soul,2020,"Animation, Family, Drama","Jamie Foxx, Tina Fey, Graham Norton",,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Everybody has a soul. Joe Gardner is about to find his.
Sound of Metal,2020,"Drama, Music","Riz Ahmed, Olivia Cooke, Paul Raci",,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",Music was his world. Then silence revealed a new one.
Space Jam,1996,"Family, Animation, Science Fiction","Michael Jordan, Wayne Knight, Theresa Randle",,"With their freedom on the line, the Looney Tunes seek the help of NBA superstar Michael Jordan to win a basketball game against a team of moronic aliens.",Get ready to jam.
Spaceballs,1987,"Comedy, Science Fiction","Mel Brooks, John Candy, Rick Moranis",,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",May the schwartz be with you.
Speed,1994,"Action, Thriller","Keanu Reeves, Dennis Hopper, Sandra Bullock",,Tensions run high when a crazed bomber rigs a Los Angeles bus with a device that will kill everyone on board if the vehicle's speed dips below fifty miles per hour.,Get ready for rush hour.
